profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,2,True,297.0000,229.2793,385.3570,72.0,0.000000,72.000000,-28.000000,-28.000000,-48.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,73.0,0.000000,73.000000,-27.000000,-27.000000,-47.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,74.0,0.000000,74.000000,-26.000000,-26.000000,-46.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,75.0,0.000000,75.000000,-25.000000,-25.000000,-45.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,76.0,0.000000,76.000000,-24.000000,-24.000000,-44.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,77.0,0.000000,77.000000,-23.000000,-23.000000,-43.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,78.0,0.000000,78.000000,-22.000000,-22.000000,-42.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,79.0,0.000000,79.000000,-21.000000,-21.000000,-41.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,80.0,0.000000,80.000000,-20.000000,-20.000000,-40.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,81.0,0.000000,81.000000,-19.000000,-19.000000,-39.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,82.0,0.000000,82.000000,-18.000000,-18.000000,-38.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,83.0,0.000000,83.000000,-17.000000,-17.000000,-37.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,84.0,0.000000,84.000000,-16.000000,-16.000000,-36.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,85.0,0.000000,85.000000,-15.000000,-15.000000,-35.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,86.0,0.000000,86.000000,-14.000000,-14.000000,-34.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,87.0,0.000000,87.000000,-13.000000,-13.000000,-33.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,88.0,0.000000,88.000000,-12.000000,-12.000000,-32.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,89.0,0.000000,89.000000,-11.000000,-11.000000,-31.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,90.0,0.000000,90.000000,-10.000000,-10.000000,-30.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,91.0,0.000000,91.000000,-9.000000,-9.000000,-29.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,92.0,0.000000,92.000000,-8.000000,-8.000000,-28.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,93.0,0.000000,93.000000,-7.000000,-7.000000,-27.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,94.0,0.000000,94.000000,-6.000000,-6.000000,-26.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,95.0,0.000000,95.000000,-5.000000,-5.000000,-25.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,96.0,0.000000,96.000000,-4.000000,-4.000000,-24.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,97.0,0.000000,97.000000,-3.000000,-3.000000,-23.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,98.0,0.000000,98.000000,-2.000000,-2.000000,-22.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,99.0,0.000000,99.000000,-1.000000,-1.000000,-21.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,100.0,0.000000,100.000000,0.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,101.0,-1.000000,100.000000,1.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,102.0,-2.000000,100.000000,2.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,103.0,-3.000000,100.000000,3.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,104.0,-4.000000,100.000000,4.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,105.0,-5.000000,100.000000,5.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,106.0,-6.000000,100.000000,6.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,107.0,-7.000000,100.000000,7.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,108.0,-8.000000,100.000000,8.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,109.0,-9.000000,100.000000,9.000000,0.000000,-20.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,110.0,-10.000000,100.000000,10.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,-10.0,0.000000,-10.000000,-110.000000,-110.000000,-130.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-9.0,0.000000,-9.000000,-109.000000,-109.000000,-129.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-8.0,0.000000,-8.000000,-108.000000,-108.000000,-128.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-7.0,0.000000,-7.000000,-107.000000,-107.000000,-127.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-6.0,0.000000,-6.000000,-106.000000,-106.000000,-126.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-5.0,0.000000,-5.000000,-105.000000,-105.000000,-125.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-4.0,0.000000,-4.000000,-104.000000,-104.000000,-124.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-3.0,0.000000,-3.000000,-103.000000,-103.000000,-123.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-2.0,0.000000,-2.000000,-102.000000,-102.000000,-122.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,-1.0,0.000000,-1.000000,-101.000000,-101.000000,-121.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,0.0,0.000000,0.000000,-100.000000,-100.000000,-120.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,1.0,0.000000,1.000000,-99.000000,-99.000000,-119.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,2.0,0.000000,2.000000,-98.000000,-98.000000,-118.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,3.0,0.000000,3.000000,-97.000000,-97.000000,-117.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,4.0,0.000000,4.000000,-96.000000,-96.000000,-116.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,5.0,0.000000,5.000000,-95.000000,-95.000000,-115.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,6.0,0.000000,6.000000,-94.000000,-94.000000,-114.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,7.0,0.000000,7.000000,-93.000000,-93.000000,-113.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,8.0,0.000000,8.000000,-92.000000,-92.000000,-112.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,9.0,0.000000,9.000000,-91.000000,-91.000000,-111.000000,-20.000000,False
N1,left,3,True,500.0000,385.3570,648.4597,10.0,0.000000,10.000000,-90.000000,-90.000000,-110.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,11.0,0.000000,11.000000,-89.000000,-89.000000,-109.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,12.0,0.000000,12.000000,-88.000000,-88.000000,-108.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,13.0,0.000000,13.000000,-87.000000,-87.000000,-107.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,14.0,0.000000,14.000000,-86.000000,-86.000000,-106.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,15.0,0.000000,15.000000,-85.000000,-85.000000,-105.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,16.0,0.000000,16.000000,-84.000000,-84.000000,-104.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,17.0,0.000000,17.000000,-83.000000,-83.000000,-103.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,18.0,0.000000,18.000000,-82.000000,-82.000000,-102.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,19.0,0.000000,19.000000,-81.000000,-81.000000,-101.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,20.0,0.000000,20.000000,-80.000000,-80.000000,-100.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,21.0,0.000000,21.000000,-79.000000,-79.000000,-99.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,22.0,0.000000,22.000000,-78.000000,-78.000000,-98.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,23.0,0.000000,23.000000,-77.000000,-77.000000,-97.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,24.0,0.000000,24.000000,-76.000000,-76.000000,-96.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,25.0,0.000000,25.000000,-75.000000,-75.000000,-95.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,26.0,0.000000,26.000000,-74.000000,-74.000000,-94.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,27.0,0.000000,27.000000,-73.000000,-73.000000,-93.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,28.0,0.000000,28.000000,-72.000000,-72.000000,-92.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,29.0,0.000000,29.000000,-71.000000,-71.000000,-91.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,30.0,0.000000,30.000000,-70.000000,-70.000000,-90.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,31.0,0.000000,31.000000,-69.000000,-69.000000,-89.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,32.0,0.000000,32.000000,-68.000000,-68.000000,-88.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,33.0,0.000000,33.000000,-67.000000,-67.000000,-87.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,34.0,0.000000,34.000000,-66.000000,-66.000000,-86.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,35.0,0.000000,35.000000,-65.000000,-65.000000,-85.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,36.0,0.000000,36.000000,-64.000000,-64.000000,-84.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,37.0,0.000000,37.000000,-63.000000,-63.000000,-83.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,38.0,0.000000,38.000000,-62.000000,-62.000000,-82.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,39.0,0.000000,39.000000,-61.000000,-61.000000,-81.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,40.0,0.000000,40.000000,-60.000000,-60.000000,-80.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,41.0,0.000000,41.000000,-59.000000,-59.000000,-79.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,42.0,0.000000,42.000000,-58.000000,-58.000000,-78.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,43.0,0.000000,43.000000,-57.000000,-57.000000,-77.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,44.0,0.000000,44.000000,-56.000000,-56.000000,-76.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,45.0,0.000000,45.000000,-55.000000,-55.000000,-75.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,46.0,0.000000,46.000000,-54.000000,-54.000000,-74.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,47.0,0.000000,47.000000,-53.000000,-53.000000,-73.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,48.0,0.000000,48.000000,-52.000000,-52.000000,-72.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,49.0,0.000000,49.000000,-51.000000,-51.000000,-71.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,50.0,0.000000,50.000000,-50.000000,-50.000000,-70.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,51.0,0.000000,51.000000,-49.000000,-49.000000,-69.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,52.0,0.000000,52.000000,-48.000000,-48.000000,-68.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,53.0,0.000000,53.000000,-47.000000,-47.000000,-67.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,54.0,0.000000,54.000000,-46.000000,-46.000000,-66.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,55.0,0.000000,55.000000,-45.000000,-45.000000,-65.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,56.0,0.000000,56.000000,-44.000000,-44.000000,-64.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,57.0,0.000000,57.000000,-43.000000,-43.000000,-63.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,58.0,0.000000,58.000000,-42.000000,-42.000000,-62.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,59.0,0.000000,59.000000,-41.000000,-41.000000,-61.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,60.0,0.000000,60.000000,-40.000000,-40.000000,-60.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,61.0,0.000000,61.000000,-39.000000,-39.000000,-59.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,62.0,0.000000,62.000000,-38.000000,-38.000000,-58.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,63.0,0.000000,63.000000,-37.000000,-37.000000,-57.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,64.0,0.000000,64.000000,-36.000000,-36.000000,-56.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,65.0,0.000000,65.000000,-35.000000,-35.000000,-55.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,66.0,0.000000,66.000000,-34.000000,-34.000000,-54.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,67.0,0.000000,67.000000,-33.000000,-33.000000,-53.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,68.0,0.000000,68.000000,-32.000000,-32.000000,-52.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,69.0,0.000000,69.000000,-31.000000,-31.000000,-51.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,70.0,0.000000,70.000000,-30.000000,-30.000000,-50.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,71.0,0.000000,71.000000,-29.000000,-29.000000,-49.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,72.0,0.000000,72.000000,-28.000000,-28.000000,-48.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,73.0,0.000000,73.000000,-27.000000,-27.000000,-47.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,74.0,0.000000,74.000000,-26.000000,-26.000000,-46.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,75.0,0.000000,75.000000,-25.000000,-25.000000,-45.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,76.0,0.000000,76.000000,-24.000000,-24.000000,-44.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,77.0,0.000000,77.000000,-23.000000,-23.000000,-43.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,78.0,0.000000,78.000000,-22.000000,-22.000000,-42.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,79.0,0.000000,79.000000,-21.000000,-21.000000,-41.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,80.0,0.000000,80.000000,-20.000000,-20.000000,-40.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,81.0,0.000000,81.000000,-19.000000,-19.000000,-39.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,82.0,0.000000,82.000000,-18.000000,-18.000000,-38.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,83.0,0.000000,83.000000,-17.000000,-17.000000,-37.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,84.0,0.000000,84.000000,-16.000000,-16.000000,-36.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,85.0,0.000000,85.000000,-15.000000,-15.000000,-35.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,86.0,0.000000,86.000000,-14.000000,-14.000000,-34.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,87.0,0.000000,87.000000,-13.000000,-13.000000,-33.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,88.0,0.000000,88.000000,-12.000000,-12.000000,-32.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,89.0,0.000000,89.000000,-11.000000,-11.000000,-31.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,90.0,0.000000,90.000000,-10.000000,-10.000000,-30.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,91.0,0.000000,91.000000,-9.000000,-9.000000,-29.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,92.0,0.000000,92.000000,-8.000000,-8.000000,-28.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,93.0,0.000000,93.000000,-7.000000,-7.000000,-27.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,94.0,0.000000,94.000000,-6.000000,-6.000000,-26.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,95.0,0.000000,95.000000,-5.000000,-5.000000,-25.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,96.0,0.000000,96.000000,-4.000000,-4.000000,-24.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,97.0,0.000000,97.000000,-3.000000,-3.000000,-23.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,98.0,0.000000,98.000000,-2.000000,-2.000000,-22.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,99.0,0.000000,99.000000,-1.000000,-1.000000,-21.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,100.0,0.000000,100.000000,0.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,101.0,-1.000000,100.000000,1.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,102.0,-2.000000,100.000000,2.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,103.0,-3.000000,100.000000,3.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,104.0,-4.000000,100.000000,4.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,105.0,-5.000000,100.000000,5.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,106.0,-6.000000,100.000000,6.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,107.0,-7.000000,100.000000,7.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,108.0,-8.000000,100.000000,8.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,109.0,-9.000000,100.000000,9.000000,0.000000,-20.000000,-20.000000,True
N1,left,3,True,500.0000,385.3570,648.4597,110.0,-10.000000,100.000000,10.000000,0.000000,-20.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,-10.0,0.000000,-10.000000,-110.000000,-110.000000,-130.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-9.0,0.000000,-9.000000,-109.000000,-109.000000,-129.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-8.0,0.000000,-8.000000,-108.000000,-108.000000,-128.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-7.0,0.000000,-7.000000,-107.000000,-107.000000,-127.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-6.0,0.000000,-6.000000,-106.000000,-106.000000,-126.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-5.0,0.000000,-5.000000,-105.000000,-105.000000,-125.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-4.0,0.000000,-4.000000,-104.000000,-104.000000,-124.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-3.0,0.000000,-3.000000,-103.000000,-103.000000,-123.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-2.0,0.000000,-2.000000,-102.000000,-102.000000,-122.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,-1.0,0.000000,-1.000000,-101.000000,-101.000000,-121.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,0.0,0.000000,0.000000,-100.000000,-100.000000,-120.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,1.0,0.000000,1.000000,-99.000000,-99.000000,-119.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,2.0,0.000000,2.000000,-98.000000,-98.000000,-118.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,3.0,0.000000,3.000000,-97.000000,-97.000000,-117.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,4.0,0.000000,4.000000,-96.000000,-96.000000,-116.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,5.0,0.000000,5.000000,-95.000000,-95.000000,-115.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,6.0,0.000000,6.000000,-94.000000,-94.000000,-114.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,7.0,0.000000,7.000000,-93.000000,-93.000000,-113.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,8.0,0.000000,8.000000,-92.000000,-92.000000,-112.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,9.0,0.000000,9.000000,-91.000000,-91.000000,-111.000000,-20.000000,False
N1,left,4,True,841.0000,648.4597,1090.5000,10.0,0.000000,10.000000,-90.000000,-90.000000,-110.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,11.0,0.000000,11.000000,-89.000000,-89.000000,-109.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,12.0,0.000000,12.000000,-88.000000,-88.000000,-108.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,13.0,0.000000,13.000000,-87.000000,-87.000000,-107.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,14.0,0.000000,14.000000,-86.000000,-86.000000,-106.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,15.0,0.000000,15.000000,-85.000000,-85.000000,-105.000000,-20.000000,True
N1,left,4,True,841.0000,648.4597,1090.5000,16.0,0.000000,16.000000,-84.000000,-84.000000,-104.000000,-20.000000,True
